,IDN,ISBN,year,author,language,original language,title,uniform title,publisher,country
6589,9958546570403338,9789632449210,[2018],"Luhn, Usch",hun,ger,Póniszív és a nagy díjugrato verseny,Ponyherz und das große Turnier,Budapest,XA-HU
6590,9958826773503338,9789635091270,[2020],"Luhn, Usch",hun,ger,Póniszív megmenti Annit,Ponyherz rettet Anni,Budapest,XA-HU
6591,9958523168903338,9789632448374,2018,"Luhn, Usch",hun,ger,Póniszív veszélyben,Ponyherz in Gefahr,Budapest,XA-HU
6592,990057740960603338,9789542992165,2014,"Ganglbauer, Petra",bul,ger,Ponjakoga vikam natam,fail,Ruse,XA-BG
6593,990050353740603338,9789176630969,[2016],"Luhn, Usch",swe,ger,Ponnyhjärta - Anni hittar en vän,Ponyherz - Anni findet ein Pony,[Stockholm],XA-SE
6594,990050326160603338,9789176631379,[2016],"Luhn, Usch",swe,ger,Ponnyhjärta - den stora tävlingen,Ponyherz und das große Turnier,[Stockholm],XA-SE
6595,990050326230603338,9789176630976,[2016],"Luhn, Usch",swe,ger,Ponnyhjärta i fara,Ponyherz in Gefahr,[Stockholm],XA-SE
6611,990049511910603338,9788740606348,[2016],"Luhn, Usch",dan,ger,Ponyhjerte - Anna finder en pony,Ponyherz - Anni findet ein Pony,[Aarhus],XA-DK
6612,9958351361003338,9788740615845,[2017],"Luhn, Usch",dan,ger,Ponyhjerte - Anna redder det lille føl,Ponyherz - Anni rettet das Fohlen,[Aarhus],XA-DK
6613,9958562469603338,9788740652536,[2019],"Luhn, Usch",dan,ger,Ponyhjerte - en vildhest i skolegården,Ponyherz - ein Wildpferd auf dem Pausenhof,[Aarhus],XA-DK
6614,9958804879703338,9788740658293,[2020],"Luhn, Usch",dan,ger,Ponyhjerte - Højby Hovedgård Høhotel,Ponyherz - Heuhotel Hottenhöh,[Aarhus],XA-DK
6615,9958523168803338,9788740620528,[2018],"Luhn, Usch",dan,ger,Ponyhjerte - om natten i stalden,Ponyherz - Nachts im Stall,[Aarhus],XA-DK
6616,990050316770603338,9788740612790,[2016],"Luhn, Usch",dan,ger,Ponyhjerte i fare,Ponyherz in Gefahr,[Aarhus],XA-DK
6617,9958819377703338,9788740663556,[2020],"Luhn, Usch",dan,ger,Ponyhjerte,Ponyherz - Klassenfahrt mit Pony,[Aarhus],XA-DK
6618,9958820972103338,fail,[2021],"Luhn, Usch",dan,ger,Ponyhjerte redder Anna,Ponyherz rettet Anni,[Aarhus],XA-DK
6619,990050316760603338,fail,[2016],"Luhn, Usch",dan,ger,Ponyhjerte,Ponyherz,[Aarhus],XA-DK
6620,9959060403603338,9788740691535,[2023],"Luhn, Usch",dan,ger,Ponyhjerte ved havet,Ponyherz am Meer,[Aarhus],XA-DK
6624,990047591870603338,9788025903988,2015,"Kaiser, Vea",cze,ger,Popdechovka aneb jak přišla věda do hor,Blasmusikpop oder wie die Wissenschaft in die Berge kam,Praha,XA-CZ
6625,990048502600603338,9788378661658,2015,"Roth, Joseph",pol,ger,Popiersie cesara,<<Die>> Büste des Kaisers,Kraków [u.a.],XA-PL
6626,9958540377203338,9788378661658,2015,"Roth, Joseph",pol,ger,Popiersie Cesarza,fail,Kraków,XA-PL
6627,9958562468903338,9788651513872,[2018],"Handke, Peter",srp,ger,Popodne pisca,Nachmittag eines Schriftstellers,Novi Sad,XA-RS
6629,9959085508803338,9788429778267,novembre del 2019,"Handke, Peter",cat,ger,<<La>> por del porter davant del penal,<<Die>> Angst des Tormanns beim Elfmeter,Barcelona,XA-ES
6630,9959035798703338,9788411482820,2023,"Handke, Peter",spa,ger,Por los pueblos,Über die Dörfer,Madrid,XA-ES
6631,990043517730603338,9786176140337,2012,fail,ukr,ger,Pora sercja,fail,Černivci,XA-UA
6632,990049391290603338,978617614.1334,2016,"Schuchter, Bernd",ukr,ger,Pora vitriv,Föhntage,Černivci,XA-UA
6633,990047578470603338,9788679580900,2014,"Bernhard, Thomas",srp,ger,Poremećaj,Verstörung,Beograd,XA-SP
6639,990048047080603338,9788466327237,2013,"Glattauer, Daniel",spa,ger,Porque sí,Darum,Madrid,XA-ES
6640,990042160440603338,9788377780435,2012,"Haas, Wolf",pol,ger,Porwanie,<<Der>> Brenner und der liebe Gott,Warszawa,XA-PL
6643,9958874152803338,9789533321196,travanj 2021,"Seethaler, Robert",hrv,ger,Posljednji stavak,<<Der>> letzte Satz,Zagreb,XA-HR
6644,990036549620603338,9785170547722,2010,"Jelinek, Elfriede",rus,ger,"Posoch, palka i palač","Stecken, Stab und Stangl",Moskva,XA-RU
6648,990044363500603338,9782743626402,2013,"Rilke, Rainer Maria",fre,ger,Poupées,fail,Paris,XA-FR
6649,9958578048803338,9789660381018,2019,"Schnitzler, Arthur",ukr,ger,Povernennja Kazanovy,Casanovas Heimfahrt,Charkiv,XA-UA
6650,9959094889303338,9786303212012,2023,"Handke, Peter",rum,ger,Povestea unui copil,Kindergeschichte,Bucureşti,XA-RO
6651,990050798090603338,9788328044807,2017,"Taschler, Judith W.",pol,ger,Powieść bez O,Roman ohne U,Wydawnictwo W.A.B.,XA-PL
6652,9958800066603338,9788366102361,2020,"Handke, Peter",pol,ger,Powitanie rady nadzorczejm,Begrüßung des Aufsichtsrats,Kraków,XA-PL
6654,9958967307803338,9789617122343,2022,"Janisch, Heinz",slv,ger,Požgečkati se ne moreš sam,Kitzeln kann man sich nicht allein,Medvode,XA-SI
6655,990049664600603338,9788378661108,2016,"Roth, Joseph",pol,ger,Poziomki i inne fragmenty prozy,fail,Kraków,XA-PL
6656,9958504373903338,9789616922609,[2015],"Schnitzler, Arthur",slv,ger,Pozna slava,Später Ruhm,Ljubljana,XA-SI
6657,990047096090603338,9788025314760,2012,"Brezina, Thomas",cze,ger,"Pozor, ten pes čaruje!","Hallo, süßer Hexenhund!",Praha,XA-CZ
6658,9958764560303338,9788679582133,2019,"Jelinek, Elfriede",srp,ger,Požuda,Lust,Beograd,XA-RS
6659,9958807670103338,9788553092093,2020,"Bernhard, Thomas",por,ger,Praça dos heróis,Heldenplatz,São Paulo,XD-BR
6660,9958778948203338,9789852301312,2020,"Kafka, Franz",bel,ger,Pracės,<<Der>> Prozess,Minsk,XA-BY
6664,990047350690603338,9788026606161,2015,fail,ger,ger,Prager deutsche Erzählungen,fail,Brno [u.a.],XA-CZ
6668,9958884640403338,9788025350416,2021,"Brezina, Thomas",cze,ger,Prastará hladomorna,<<Das>> vergessene Verlies,V Praze,XA-CZ
6673,990049023750603338,9781612616414,2016,"Rilke, Rainer Maria",eng,ger,Prayers of a young poet,fail,Orleans,XD-US
6674,990057721150603338,9786197362114,2017,"Rudoll, Ronald",bul,ger,Praznenstvo za razvoda j,<<Die>> Scheidungsfeier,Sofija,XA-BG
6677,990057733410603338,9789549915242,2012,"Lack, Stephan",bul,ger,Predizvikatelstvo ili istina,Predizvikatelstvo ili istina,Sofija,XA-BG
6678,990049044090603338,9788689107531,2015.,"Kafka, Franz",srp,ger,Preobražaj,<<Die>> Verwandlung,Beograd,XA-SP
6680,9958947503103338,9786192620103,2022,"Zweig, Stefan",bul,ger,Preobrazenijat komediant,<<Der>> verwandelte Komödiant,Sofija,XA-BG
6682,9958558935703338,9789538039331,2018,"Knapp, Radek",hrv,ger,Preporuke gospodina Kuke,Herrn Kukas Empfehlungen,Zagreb,XA-HR
6683,9958819780503338,9786587448114,2020,"Bernhard, Thomas",por,ger,<<O>> presidente,<<Der>> Präsident,Curitiba,XD-BR
6684,9958899914703338,9789612824860,[2021],"Menasse, Robert",slv,ger,Prestolnica,<<Die>> Hauptstadt,Ljubljana,XA-SI
6686,9958947503003338,9786192620080,2022,"Rudoll, Ronald",bul,ger,Prevăplăštenieto,<<Die>> Gespenster-Analyse,Sofija,XA-BG
6687,990037759680603338,9785170673056,2010,"Kafka, Franz",rus,ger,Prevraščenie,<<Die>> Verwandlung,Moskva,XA-RU
6688,9958577373603338,9785041036614,2019,"Kafka, Franz",rus,ger,Prevraščenie,<<Die>> Verwandlung,Moskva,XA-RU
6689,9958494772703338,9785389094635,[2018],"Kafka, Franz",rus,ger,Prevraščenie,fail,Sankt-Peterburg,XA-RU
6690,9958812961203338,9783899196634,[2020],fail,rus,ger,Prevraščenie,fail,[Haselbach],XA-DE-BY
6691,990049602760603338,9785699823352,[2016],"Kafka, Franz",rus,ger,Prevraščenie,<<Die>> Verwandlung,Moskva,XA-RU
6693,990049588090603338,9789532973365,2012.,"Roth, Joseph",hrv,ger,Priča o 1002. noći,<<Die>> Geschichte von der 1002. Nacht,Zagreb,XA-HR
6696,9958853751303338,9786197362848,2021,"Bernhard, Thomas",bul,ger,Pričinata,<<Die>> Ursache,Sofija,XA-BG
6697,9958492655103338,9789545532016,2017,"Gavran, Miro",bul,hrv,Prijateljat na Kafka,Kafkin prijatelj,Sofija,XA-BG
6698,990050390850603338,9786197362008,2016,"Roth, Joseph",bul,ger,Prikazka za 1002-ata nošt,<<Die>> Geschichte von der 1002. Nacht,Sofija,XA-BG
6700,9959070811603338,9786082678214,[2023],"Freudenthaler, Laura",mac,ger,Prikazna za duhovite,Geistergeschichte,Skopje,XA-MK
6701,990049218060603338,9788823509603,[2016],"Handke, Peter",ita,ger,Prima del calcio di rigore,<<Die>> Angst des Tormanns beim Elfmeter,Milano,XA-IT
6702,990037884010603338,9788492649440,2010,"Roth, Joseph",spa,ger,Primavera de café,Kaffeehaus-Frühling,Barcelona,XA-ES
6703,9958558954203338,9788417624989,[2019],"Hartlieb, Petra",spa,ger,Primavera en Viena,Wenn es Frühling wird in Wien,Madrid,XA-ES
6706,990050283120603338,9789186095352,[2013],"Jelinek, Elfriede",swe,ger,Prinsessdramer,<<Der>> Tod und das Mädchen I-V,Umeå,XA-SE
6707,9958926119903338,9782743655846,[2022],"Rilke, Rainer Maria",fre,ger,Printemps enchanté,fail,Paris,XA-FR
6708,9958822278103338,9789733411727,[2020],"Poznanski, Ursula",rum,ger,Prinţesa cea mai cea,<<Die>> allerbeste Prinzessin,Bucureşti,XA-RO
6714,990038246500603338,9783937467481,2010,"Saint-Exupéry, Antoine <<de>>",ger,fre,<<Daz>> Prinzelîn,"<<Le>> petit prince <dt., mittelhochdt.>",Neckarsteinach,XA-DE-HE
6722,9958975107003338,9788075477989,[2021],"Herrig, Michael",ger,ger,<<Die>> Prinzessin Sissi,fail,Dubicko,XA-CZ
6725,9958601175903338,9788087048627,2019,"Bachmann, Ingeborg",cze,ger,Případ Franza,<<Der>> Fall Franza,Martínkovice,XA-CZ
6726,9958496850403338,9789612842819,2017,"Bernhard, Thomas",slv,ger,Pripovedi,An der Baumgrenze,Ljubljana,XA-SI
6727,990045666820603338,fail,2014,"Kafka, Franz",srp,ger,Pripovetke,fail,Beograd,XA-SP
6728,990050836810603338,9789533320502,studeni 2016.,"Kafka, Franz",hrv,ger,Pripovijetke i prozni fragmenti,fail,Zagreb,XA-HR
6729,990050060550603338,9788000044187,2016,"Brezina, Thomas",cze,ger,Příšera z laguny,<<Die>> Monstermaske der Lagune,V Praze,XA-CZ
6731,990045990990603338,9789989189760,2010,"Canetti, Elias",mac,ger,Prisluškuvač,<<Der >> Ohrenzeuge,Skopje,XA-MK
6732,990047096500603338,9788020425591,2012,"Brezina, Thomas",cze,ger,Přísně tajné! Vejce z vesmíru,Streng geheim! Das Ei aus dem All,Praha,XA-CZ
6734,990049801690603338,9788025328651,2016,"Brezina, Thomas",cze,ger,Přízrak černého obra,<<Die>> Wüste des schwarzen Riesen,Praha,XA-CZ
6735,990046987930603338,9788000034607,2014,"Brezina, Thomas",cze,ger,Přízrak na stadionu,<<Die>> Knickerbocker-Bande: Spuk im Stadion,V Praze,XA-CZ
6736,990039195610603338,9788080893101,2012,"Brezina, Thomas",slo,ger,Prízraky bez tváre,Schreckensnacht im Spukhotel,Bratislava,XA-SK
6738,9958573441603338,9788679581976,2018,"Kafka, Franz",srp,ger,Proces,<<Der>> Prozess,Beograd,XA-SP
6739,990049535600603338,9788617193322,2016. godina,"Kafka, Franz",srp,ger,Proces,<<Der>> Prozess,Beograd,XA-SP
6741,9958899745303338,9788686683588,2011,"Kafka, Franz",srp,ger,Proces,<<Der>> Prozess,Beograd,XA-RS
6742,9958910325803338,9786082435411,[2022],"Kafka, Franz",mac,ger,Proces,<<Der>> Prozess,Skopje,XA-MK
6743,990049546320603338,9788644706878,2016,"Kafka, Franz",srp,ger,Proces,<<Der>> Prozess,Beograd,XA-RS
6744,9958893045203338,9788681804049,[2020],"Kafka, Franz",srp,ger,Proces,<<Der>> Prozess,Beograd,XA-RS
6745,990049507500603338,9788663690523,2015,"Kafka, Franz",srp,ger,Proces,<<Der>> Prozess,Beograd,XA-SP
6746,990045982620603338,9789989309854,2010,"Kafka, Franz",mac,ger,Proces,<<Der>> Prozess,Skopje,XA-MK
6749,9958549779703338,fail,[2017],"Kafka, Franz",hrv,ger,Proces,<<Der>> Prozess,[Zagreb],XA-HR
6750,9958549779603338,fail,[2017],"Kafka, Franz",hrv,ger,Proces,fail,[Zagreb],XA-HR
6751,9958549779503338,fail,[2017],"Kafka, Franz",hrv,ger,Proces,fail,[Zagreb],XA-HR
6752,9958549779403338,fail,[2017],"Kafka, Franz",hrv,ger,Proces,fail,[Zagreb],XA-HR
6753,9958549779303338,fail,[2017],"Kafka, Franz",hrv,ger,Proces,fail,[Zagreb],XA-HR
6754,9958504570903338,9782359052671,2017,"Kafka, Franz",fre,ger,<<Le>> procès,<<Der>> Prozess,Paris,XA-FR
6755,9958269787803338,9788373277502,2017,"Kafka, Franz",pol,ger,Proces,<<Der>> Prozess,Kraków,XA-PL
6757,9958547860403338,9788055901107,2016,"Kafka, Franz",slo,ger,Proces,<<Der>> Prozess,Bratislava,XA-SK
6758,990050812750603338,9788475886244,2016,"Kafka, Franz",cat,ger,<<El>> procés,<<Der>> Prozess,Barcelona,XA-ES
6759,990049116210603338,9788074072956,2016,"Kafka, Franz",cze,ger,Proces,<<Der>> Prozess,Praha,XA-CZ
6760,9958496969603338,9789492228659,[2016],"Kafka, Franz",dut,ger,<<Het>> proces,<<Der>> Prozess,Rotterdam,XA-NL
6761,990045667490603338,9788676741908,2013,"Kafka, Franz",srp,ger,Proces,<<Der>> Prozess,Beograd,XA-SP
6762,990048300600603338,9788073901271,2014,"Kafka, Franz",cze,ger,Proces,<<Der>> Prozess,Praha,XA-CZ
6763,990047206940603338,9788377792070,2014,"Kafka, Franz",pol,ger,Proces,Prozess,[Warszawa],XA-PL
6764,9958570779403338,9789660385719,2019,"Kafka, Franz",ukr,ger,Proces,<<Der>> Prozess,Charkiv,XA-UA
6765,990043224280603338,9789545974199,2011,"Kafka, Franz",bul,ger,Procesăt,<<Der>> Prozess,Sofija,XA-BG
6766,9958506174103338,9789549621662,2016,"Kafka, Franz",bul,ger,Procesăt,<<Der>> Prozess,Sofija,XA-BG
6767,9958026966803338,9789995630799,janar 2010,"Kafka, Franz",alb,ger,Procesi,<<Der>> Prozess,Tiranë,XA-AL
6768,990047591860603338,9788420678191,2013,"Kafka, Franz",spa,ger,<<El>> proceso,<<Der>> Prozess,Madrid,XA-ES
6769,990048499450603338,9788477027508,2013,"Kafka, Franz",spa,ger,<<El>> proceso,<<Der>> Prozess,Madrid,XA-ES
6770,990048047220603338,9788415605362,2015,"Kafka, Franz",spa,ger,<<El>> proceso,<<Der>> Prozess,"Santa Perpetua de Mogoda, Barcelona",XA-ES
6771,9958545236403338,fail,rujan 2017,"Kafka, Franz",hrv,ger,Proces,<<Der>> Prozess,Zagreb,XA-HR
6772,9958807240903338,9785171203740,2020,"Kafka, Franz",rus,ger,Process,<<Der>> Prozess,Moskva,XA-RU
6773,9958026967203338,9785170892891,[2017],"Kafka, Franz",rus,ger,Process,<<Der>> Prozess,Moskau,XA-RU
6774,990049587690603338,9785170793952,[2014],"Kafka, Franz",rus,ger,Process,<<Der>> Process,Moskva,XA-RU
6775,990049587760603338,9785389093072,[2016],"Kafka, Franz",rus,ger,Process,<<Der>> Process,Sankt-Peterburg,XA-RU
6776,990043528480603338,9783868736168,2013,fail,ger,eng,<<Der>> Process,fail,München,XA-DE-BY
6779,9958841257903338,9789177810193,2018,"Kafka, Franz",swe,ger,Processen,<<Der>> Prozess,Stockholm,XA-SE
6780,990049215840603338,9789174996197,[2015],"Kafka, Franz",swe,ger,Processen,<<Der>> Prozess,Stockholm,XA-SE
6781,990038396380603338,9789174291490,2011,"Kafka, Franz",swe,ger,Processen,<<Der>> Prozess,[Stockholm],XA-SE
6782,990047210710603338,9789171370143,2014,"Kafka, Franz",swe,ger,Processen,<<Der>> Prozess,Lund,XA-SE
6783,990045610770603338,9789186745325,2012,"Kafka, Franz",swe,ger,Processen,<<Der>> Prozess,[Stockholm],XA-SE
6784,990049511790603338,9785699648733,2016,"Kafka, Franz",rus,ger,Process,fail,Moskva,XA-RU
6787,990049795230603338,9785699805990,2015,"Kafka, Franz",rus,ger,Process,<<Der>> Prozess,Moskva,XA-RU
6788,990049795250603338,9785389067950,2014,"Kafka, Franz",rus,ger,Process,<<Der>> Prozess,Sankt-Peterburg,XA-RU
6789,9958585080103338,9786190204312,2019,"Seethaler, Robert",bul,ger,Prodavačat na vestnici i cigari,<<Der>> Trafikant,Sofija,XA-BG
6792,990050835420603338,9788494451133,novembre del 2015,"Schnitzler, Arthur",cat,ger,<<El>> professor Bernhardi,Professor Bernhardi,Tarragona,XA-ES
6793,990043137160603338,9788415277798,2012,"Roth, Joseph",spa,ger,<<El>> profeta mudo,<<Der>> stumme Prophet,Barcelona,XA-ES
6794,9958235097503338,9788087545553,2017,fail,cze,ger,Prokletí básníci německé poezie,fail,Zlín,XA-CZ
6795,990044512910603338,9788086911403,2013,"Kafka, Franz",cze,ger,Proměna,<<Die >> Verwandlung,Praha,XA-CZ
6796,990055738950603338,9788073902223,2014,"Kafka, Franz",cze,ger,Proměna a jiné povídky,Erzählungen,Praha,XA-CZ
6797,9958828268003338,9788072872459,2020,"Kafka, Franz",cze,ger,Proměna,<<Die>> Verwandlung,Praha,XA-CZ
6799,9958513061503338,9789533400624,2018,"Henisch, Peter",hrv,ger,Pronađi mačku,Suchbild mit Katze,Zagreb,XA-HR
6805,990027308620603338,9781906497569,2010,"Bernhard, Thomas",eng,ger,Prose,fail,London [u.a.],XA-GB
6806,9958496969503338,9786020328959,agustus 2016,"Kafka, Franz",ind,ger,Proses,<<Der>> Prozess,Jakarta,XB-ID
6807,9958496969403338,9782916835624,[2015],"Kafka, Franz",bre,ger,<<Ar>> prosez,<<Der>> Prozess,Lannuon,XA-FR
6808,9959009077903338,9789601684604,Oktōbrios 2022,"Menasse, Robert",gre,ger,<<Ē>> prōteuusa,<<Die>> Hauptstadt,Athēna,XA-GR
6809,990037748810603338,9789612317836,2010,"Glattauer, Daniel",slv,ger,Proti severnemu vetru,Gut gegen Nordwind,Ljubljana,XA-SI
6810,9958517878903338,9788378662846,2018,"Roth, Joseph",pol,ger,Proza podróżna,fail,Kraków,XA-PL
6817,9958555040203338,9788366272194,2019,"Kafka, Franz",pol,ger,Prozy utajone,fail,Warszawa,XA-PL
6819,9958806380003338,9786176142898,2020,"Celan, Paul",ukr,ger,Prytulok času,Zeitgehöft,Černivci,XA-UA
6820,9958593259503338,9788307034607,2019,"Bernhard, Thomas",pol,ger,Przegrany,<<Der>> Untergeher,Warszawa,XA-PL
6822,990045019750603338,9788361298335,2013,"Celan, Paul",ger,ger,Psalm i inne wiersze,fail,Kraków,XA-PL
6823,990045973390603338,9788835028154,2011,"Bleuler, Eugen",ita,ger,<<La>> psicanalisi di Freud,<<Die>> Psychanalyse Freuds,Brescia,XA-IT
6824,9959063505903338,9788652148394,2023,"Handke, Peter",srp,ger,Psovanje publike i druge drame,Publikumsbeschimpfung und andere Sprechstücke,Beograd,XA-RS
6825,990038257050603338,9788508091881,2010,"Brezina, Thomas",por,ger,Psssiu ... é segredo!,fail,São Paulo,XD-BR
6828,9958492640003338,9788494678783,2017,"Lubomirski, Karl",spa,ger,<<La>> puerta,<<Das>> Tor,Siero - Asturias,XA-ES
6830,990049063370603338,9788024446660,2015,"Strobl, Karl Hans",cze,ger,Půlnoční povídky,Geschichten um Mitternacht,Olomouc,XA-CZ
6831,990047074780603338,9788025320693,2014,"Brezina, Thomas",cze,ger,Půlnoční setkání,Geheimtreff Schule - Mitternacht,Praha,XA-CZ
6838,990043231180603338,9781906570224,2012,"Rilke, Rainer Maria",eng,ger,Pure contradiction,fail,Todmorden,XA-GB
6839,9958798578103338,9786197362664,2020,"Rudoll, Ronald",bul,ger,Pusnatata brimka,<<Die>> Laufmasche,Sofija,XA-BG
6840,990049800700603338,9788056401590,2016,"Brezina, Thomas",slo,ger,Púšt' čierneho obra,<<Die>> Wüste des schwarzen Riesen,Bratislava,XA-SK
6841,9958558076403338,9789533400686,[2018],"Knapp, Radek",hrv,ger,Put u kalino,Reise nach Kalino,Zagreb,XA-HR
6842,9958842649403338,9789975864558,[2020],"Trojanow, Ilija",rum,ger,Putere şi rezistenţă,Macht & Widerstand,Bucureşti,XA-RU
6843,990049586490603338,9789536751792,2012,"Glavinic, Thomas",hrv,ger,Putovanje u ime Gospodnje,Unterwegs im Namen des Herrn,Zagreb,XA-HR
6844,9958947494003338,9789916122532,[2021],"Handke, Peter",est,ger,Puuviljavaras ehk ühe otsa reis sisemaale,<<Die>> Obstdiebin,[Tallinn],XA-EE
6845,990042342230603338,9789600410426,[2011],"Kafka, Franz",gre,ger,<<O>> pyrgos,"<<Das>> Schloss <griech., neugriech.>",Athēna,XA-GR
6846,990047234110603338,9787533278823,2014,"Nöstlinger, Christine",chi,ger,Qin ai de mo gui xian sheng,<<Der>> liebe Herr Teufel,Ji nan,XB-CN
6847,990048800450603338,9787115391612,2015,"Brezina, Thomas",chi,ger,Qiu chang gui guai,<<Das>> Phantom auf dem Fussballplatz,Bei jing,XB-CN
6848,990046350480603338,9787208115149,2014,"Handke, Peter",chi,ger,Qu wang di jiu wang guo,<<Die>> Wiederholung,Shang hai,XB-CN
6849,990042389620603338,9788483305775,2010,"Rilke, Rainer Maria",cat,ger,<<Els>> quaderns de Malte Laurids Brigge,<<Die>> Aufzeichnungen des Malte Laurids Brigge,Barcelona,XA-ES
6852,9958945400803338,9782246825869,[2022],"Gstrein, Norbert",fre,ger,Quand j'etais jeune,Als ich jung war,Paris,XA-FR
6854,990049669180603338,9788565859974,2016,"Meyerhoff, Joachim",por,ger,Quando final mente voltará a ser como nunca foi,"Wann wird es endlich wieder so, wie es nie war",Rio de Janeiro,XD-BR
6855,990050062660603338,9788831720922,aprile de 2015,"Meyerhoff, Joachim",ita,ger,Quando tutto tornerà a essere come non è mai stato,"Wann wird es endlich wieder so, wie es nie war",Venezia,XA-IT
6856,990050074990603338,9788415835516,gener de 2015,"Werfel, Franz",cat,ger,<<Els>> quaranta dies del Musa Dagh,<<Die>> vierzig Tage des Musa Dagh,Barcelona,XA-ES
6859,990047057050603338,9789025442552,2014,"Menasse, Eva",dut,ger,Quasikristallen,Quasikristalle,Amsterdam [u.a.],XA-NL
6864,990047192430603338,9788432224188,2015,"Meyerhoff, Joachim",spa,ger,Que todo sea como nunca fue,"Wann wird es endlich wieder so, wie es nie war",Barcelona,XA-ES
6865,990047205450603338,9788429773835,2015,"Meyerhoff, Joachim",cat,ger,Que tot sigui com no ha estat mai,"Wann wird es endlich wieder so, wie es nie war",Barcelona,XA-ES
6872,990044102320603338,9786074718515,2011,"Nöstlinger, Christine",spa,ger,Querida abuela ... tu Susi,"Liebe Oma, deine Susi","México, D.F.",XD-MX
6873,9958493247203338,9789875734548,diciembre de 2017,"Nöstlinger, Christine",spa,ger,"Querida Susi, querido Paul","Liebe Susi, lieber Paul!",Buenos Aires,XD-AR
6874,9958549575703338,9788491077909,septiembre de 2018,"Nöstlinger, Christine",spa,ger,"Querida Susi, querido Paul","Liebe Susi, lieber Paul","Boadilla del Monte, Madrid",XA-ES
6876,9958941600503338,9780374125592,2022,"Handke, Peter",eng,ger,Quiet places,fail,New York,XD-US
6877,9958904945503338,9789493186019,2020,"Rühm, Gerhard",dut,ger,<<Het>> raam,<<Das>> Fenster,[Bleiswijk],XA-NL
6882,9958549665803338,9788823516847,novembre 2016,"Rilke, Rainer Maria",ita,ger,<<I>> racconti,fail,Parma,XA-IT
6883,990049591970603338,9788845930690,[2016],"Broch, Hermann",ita,ger,<<Il>> racconto della serva Zerlina,<<Die>> Erzählung der Magd Zerline,Milano,XA-IT
6895,990048814540603338,9788684807924,2015,"Roth, Joseph",srp,ger,Radecki marš,Radetzkymarsch,Beograd,XA-SP
6896,990050272850603338,fail,2013,"Roth, Joseph",tur,ger,Radetsky marşi,Radetzkymarsch,Istanbul,XB-AZ
6899,990049389310603338,9789532665994,"2014., prosinac","Roth, Joseph",hrv,ger,Radetzky marš,Radetzkymarsch,Zaprešić,XA-HR
6900,9958864543903338,9789045022680,2021,"Roth, Joseph",dut,ger,Radetzkymars,Radetzkymarsch,Amsterdam,XA-NL
6901,9958822279203338,9789028210516,september 2020,"Roth, Joseph",dut,ger,Radetzkymars,Radetzkymarsch,Amsterdam,XA-NL
6914,9958506173103338,9789177791522,[2018],"Roth, Joseph",swe,ger,Radetzkymarschen,Radetzkymarsch,[Stockholm],XA-SE
6915,9958853550903338,9780857428172,2021,"Bachmann, Ingeborg",eng,ger,<<The>> radio family,<<Die>> Radiofamilie,London,XA-GB
6916,990047591820603338,fail,2014,"Bachmann, Ingeborg",eng,ger,<<The>> radio family,<<Die>> Radiofamilie,London [u.a.],XA-GB
6919,9958580978403338,9788850252657,febbraio 2019,"Kreslehner, Gabi",ita,ger,<<La>> ragazza della pioggia,<<Das>> Regenmädchen,Milano,XA-IT
6920,990047406470603338,9781477823118,2014,"Kreslehner, Gabi",eng,ger,Rain girl,<<Das>> Regenmädchen,"Seattle, Wash.",XD-US
6931,990043050460603338,9788090451483,2011,"Winkler, Josef",cze,ger,Rappongi,Rappongi,Zlín,XA-CZ
6932,990049389630603338,9789533320106,lipanj 2013.,"Rabinowich, Julya",hrv,ger,Rascijepljenost,Spaltkopf,Zagreb,XA-HR
6933,990046346670603338,9785000830574,2014,"Nöstlinger, Christine",rus,ger,Rasskazy pro Franca i bolezni,Krankengeschichten vom Franz,Moskva,XA-RU
6934,9958497366703338,9785000833629,[2017],"Nöstlinger, Christine",rus,ger,Rasskazy pro Franca i čušnuju čus',Quatschgeschichten vom Franz,Moskva,XA-RU
6935,990051022370603338,9785000832080,[2016],"Nöstlinger, Christine",rus,ger,Rasskazy pro Franca i dedušku,Opa-Geschichten vom Franz,Moskva,XA-RU
6936,9958497366603338,9785000833810,[2017],"Nöstlinger, Christine",rus,ger,Rasskazy pro Franca i družbu,Freundschaftsgeschichten vom Franz,Moskva,XA-RU
6937,990051022380603338,9785000832677,[2016],"Nöstlinger, Christine",rus,ger,Rasskazy pro Franca i futbol,Fußballgeschichten vom Franz,Moskva,XA-RU
6938,990046346750603338,9785000830536,2014,"Nöstlinger, Christine",rus,ger,Rasskazy pro Franca i kanikuly,Feriengeschichten vom Franz,Moskva,XA-RU
6939,990050288780603338,9785000830659,2014,"Nöstlinger, Christine",rus,ger,Rasskazy pro Franca i ljubov',Liebesgeschichten vom Franz,Moskva,XA-RU
6940,990051022390603338,9785000833353,[2017],"Nöstlinger, Christine",rus,ger,Rasskazy pro Franca i lošadej,Pferdegeschichten vom Franz,Moskva,XA-RU
6941,990051022360603338,9785000832073,[2016],"Nöstlinger, Christine",rus,ger,Rasskazy pro Franca i mladenca,Baby-Geschichten vom Franz,Moskva,XA-RU
6942,990049383790603338,9785000832028,2015,"Nöstlinger, Christine",rus,ger,Rasskazy pro Franca i Roždestvo,Weihnachtsgeschichten vom Franz,Moskva,XA-RU
